MAIN_ID,SP_TYPE,DIST(pc),Mdot,Ref,Inclination,Ref,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,A_K,2MASS_FLAG,W1,A_W1,W2,A_W2,IRAC_8,F9,F9_FLAG,IRAS_12,W3,A_W3,IRS_16,F18,F18_FLAG,IRS_22,W4,A_W4,WISE_FLAG,MIPS_24,IRAS_25,F25_FLAG,REF,IRAS_60,F60_FLAG,REF,F65,F65_FLAG,REF,70,REF,F90,F90_FLAG,REF,IRAS_100,F100_FLAG,Ref,F140,F140_FLAG,REF,F160,F160_FLAG,REF,350,REF,450,REF,600,REF,750,REF,800,REF,850,REF,870,REF,890,REF,1100,REF,1200,REF,1300,REF,1400,REF,2000,REF,2600,REF,2700,REF,3000,REF,3100,REF,3200,REF,3300,REF,3400,REF,3500,REF,6800,REF,7000,REF,13000,REF,36000,REF,60000,REF,MAIN_ID,MEEUS_GRP,Ref,Refs for Why Stars are Added,RA,DEC,Teff,V_correc,V_abs,BC_V,M_Bol,L(L_SUN)
HD 245185,A0Vae,400,0.000000063,Donehew & Brittain 2011,,,9.98,0.386321127,9.97,0.328338028,9.89,0.248,9.71,0.185825352,9.68,0.118760563,9.291,0.069859155,8.764,0.043592113,8.02,0.026686197,000,6.893,0.013086948,6.129,0.008087682,null|,2.392,3,null|,2.469,0.00676027,null|,4.476,3,null|,0.513,0.004411773,0000,null|,6.8,3,,4.97E+00,3,,5.537,3,,,,4.685,3,,4.6,3,,3.792,3,,3.816,1,,,,,,,,,,,,,,,,,,,,,,0.044,,,,,,0.0065,,,,,,,,,,,,,,,,,,,,,,,,,,HD 245185,Ia,van Boekel et al. 2005 (grain growth…),,05 35 09,+10 01 51,9700,9.642,1.631700043,-0.24,1.391700043,21.84338712
mx ori,F8Ve,,,,,,,0.738839155,10.927,0.627946479,10.254,0.4743,,0.355390986,,0.227129577,8.315,0.133605634,7.684,0.083369915,7.101,0.051037352,000,6.304,0.025028789,5.862,0.015467691,3.66E-01,0.7269,3,2.78E-01,5.22,0.012929017,2.36E-01,      null|,0,1.70E-01,4.012,0.008437516,hdOO ,1.30E-01,1.20E-01,3,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mx ori,,,,05 35 21,-05 09 16,6150,9.7797,#NUM!,-0.07,#NUM!,#NUM!
nv ori,F0,375,5.01E-09,"Mendigutia, Calvet, et al. 2011",,,,5.427811831,11.623,4.613149296,10.189,3.4844,,2.610846197,,1.668585915,8.799,0.981521127,8.257,0.612469183,7.642,0.37494107,000,6.989,0.183871624,6.375,0.113631928,7.63E-01,1.247,3,1.21E+00,3.431,0.094981799,1.21E+00,      null|,0,1.60E+00,1.589,0.061985415,hhhD ,1.51E+00,1.53E+00,3,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nv ori,,,,05 35 31,-05 33 08,7200,6.7046,-1.165556339,-0.01,-1.175556339,232.3927288
t ori,A3IVeb,460,2.63E-07,"Mendigutia, Calvet, et al. 2011",,,11.64,2.124766197,11.16,1.805859155,10.63,1.364,10.02,1.022039437,9.67,0.653183099,8.271,0.384225352,7.236,0.23975662,6.216,0.146774085,000,5.012,0.071978216,4.586,0.044482249,null|,      null|, null,null|,2.73,0.037181487,null|,      null|,null,null|,0.64,0.024264753,HHHH ,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.088,"Th. Henning et al. 1994, cold dust",,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,t ori,II,Baines et al. 2012,,05 35 50,-05 28 34,8550,9.266,0.952210842,-0.06,0.892210842,34.60315223
cq tau,F3,100,5.01187E-09,"Mendigutia, Calvet, et al. 2011",29,Cauley 2014,11.48,1.883315493,11.03,1.600647887,10.27,1.209,9.53,0.905898592,9.53,0.578957746,7.926,0.34056338,7.06,0.212511549,6.173,0.130095211,000,5.328,0.063798873,4.428,0.039427448,3.31E+00,4.855,3,6.15E+00,1.775,0.032956318,1.04E+01,12.88,3,1.98E+01,-0.795,0.021507395,0000,1.96E+01,1.98E+01,3,,2.19E+01,3,,15.89,3,,18.14,,16.25,3,,1.41E+01,3,,10.3,3,,8.69,3,,,,,,,,,,,,,,0.421,,,,,,,,0.103,,,,,,,,0.022,,,,,,,,,,0.0131,,,,,,0.00026,,,,0.000075,,0.000075,,cq tau,II,Honda et al. 2015,,05 35 58,+24 44 54,6720,9.061,4.061,-0.03,4.031,1.921321311
v380 ori,B9,510,2.50E-06,Donehew & Brittain 2011,,,10.85,2.993988732,11.05,2.544619718,10.49,1.922,9.66,1.440146479,9.13,0.920394366,8.107,0.541408451,6.964,0.337838873,5.947,0.206818028,000,4.792,0.10142385,3.723,0.062679533,null|,7.375,3,null|,1.492,0.052392096,null|,7.237,3,null|,0.149,0.034191243,HHHH ,null|,8.8,3,,7.59E+01,1,,null|,null|,,,,null|,null|,,3.86E+01,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.008,"Th. Henning et al. 1994, cold dust, 1 sigma detected",,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,v380 ori,,,,05 36 25,-06 42 57,10700,8.568,0.03014912,-0.42,-0.38985088,112.7042653
HD 245465,F4e,178,,,,,10.26,0.386321127,10.14,0.328338028,9.67,0.248,9.21,0.185825352,9.18,0.118760563,8.604,0.069859155,8.371,0.043592113,8.231,0.026686197,000,8.18,0.013086948,8.185,0.008087682,3.44E-02,      null|, null,1.85E-02,8.129,0.00676027,8.97E-03,      null|,null,2.52E-03,8.131,0.004411773,0000,2.52E-03,2.75E-03,3,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 245465,,,,05 36 29,+06 50 02,6640,9.422,3.169899988,-0.04,3.129899988,4.405954467
HD 37258,A1,510,1.04713E-07,Fairlamb et al. 2015,,,,0.627770865,9.9300003,0.533548475,9.7700005,0.40299938,9.6999998,0.301965733,,0.192985619,8.953,0.113520952,8.406,0.070837074,7.69,0.043365004,000,6.692,0.021266258,6.036,0.013142463,9.27E-01,1.749,3,null,3.56,0.010985423,null,1.622,3,null,1.946,0.007169121,0000,null,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 37258,II,Acke et al. 2010,,05 36 59,-06 09 16,9200,9.36700112,0.82915024,-0.15,0.67915024,42.10560425
HD 290770,B8,375,,,,,,0.386321127,9.29,0.328338028,9.3,0.248,,0.185825352,,0.118760563,12.077,0.069859155,11.714,0.043592113,11.54,0.026686197,ccc,6.237,0.013086948,5.594,0.008087682,1.14E+00,1.412,3,1.48E+00,3.264,0.00676027,1.58E+00,1.873,3,2.21E+00,1.31,0.004411773,00d0,2.17E+00,2.20E+00,3,,2.72E+00,3,,1.221,1,,,,1.777,3,,1.75E+01,1,,1.167,1,,1.648,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 290770,,,Cauley,05 37 02.4492,-01 37 21.360,12500,9.052,1.181843661,-0.81,0.371843661,55.88078977
bf ori,A2,430,0.00000001,"Mendigutia, Calvet, et al. 2011",,,11.08,1.255543662,10.73,1.067098592,10.41,0.806,10.09,0.603932394,9.75,0.385971831,9.113,0.227042254,8.565,0.141674366,7.897,0.086730141,000,6.88,0.042532582,6.101,0.026284965,5.90E-01,      null|, null,7.55E-01,3.591,0.021970879,6.53E-01,      null|,null,7.38E-01,2.196,0.014338263,0000,6.82E-01,0.8,3,,1.7,3,,null|,null|,,,,null|,null|,,null|,null|null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.07,"Hillenbrand 1992, upper limit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf ori,II,Acke et al. 2008,,05 37 13,-06 35 00,8840,9.604,1.436657722,-0.1,1.336657722,22.97930615
HD 37357,A0e,375,3.80189E-07,Fairlamb et al. 2015,,,,0.482898645,8.9499998,0.410420187,8.8500004,0.309998226,,0.232280361,,0.148449855,8.405,0.087323444,7.947,0.054489829,7.368,0.033357556,000,6.647,0.016358592,5.952,0.010109544,1.05E+00,1.513,3,null,3.416,0.00845029,null,1.671,3,null,1.494,0.005514685,0000,null,2.79E+00,3,,2.90E+00,2,,1.28,1,,,,2.479,3,,2.03E+01,2,,null,1,,1.301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 37357,II,Acke et al. 2010,,05 37 47,-06 42 30,9700,8.540002174,0.669845835,-0.24,0.429845835,52.97386566
HD 290764,A7,185,1.8197E-07,Fairlamb et al. 2015,,,,0.820932394,10.18,0.69771831,9.82,0.527,,0.394878873,,0.252366197,8.878,0.148450704,8.203,0.092633239,7.408,0.056708169,000,6.344,0.027809765,5.691,0.017186324,6.79E-01,0.5724,3,5.53E-01,4.277,0.014365575,1.11E+00,1.884,3,3.28E+00,0.897,0.009375018,0000,3.54E+00,3.54E+00,3,,1.04E+01,3,,7.747,3,,,,9.118,3,,9.00E+00,3,,7.282,3,,6.449,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 290764,,,Cauley,05 38 05.2497,-01 15 21.670,7800,9.293,2.957141358,0,2.957141358,5.165869809
V1787 Ori,A5e,480,,,,,,6.615750401,15.26,5.622789672,13.75,4.24700071,,3.182259687,,2.033774988,9.938,1.196338228,8.969,0.746515054,7.978,0.457001203,000,6.489,0.224114028,5.668,0.138501572,1.48E+00,2.027,3,2.26E+00,3.095,0.11576965,2.39E+00,2.493,3,2.88E+00,1.343,0.07555163,0000,2.74E+00,2.82E+00,3,,5.31E+00,3,,null|,null|,,,,null|,null|,,3.13E+01,3,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V1787 Ori,,,,05 38 09,-06 49 16,8080,9.50299929,1.096793103,-0.03,1.066793103,29.46339301
HD 37411,B9Ve,365,7.4131E-08,Fairlamb et al. 2015,,,10.03,0.869221983,9.9099998,0.738760094,9.79,0.557999645,9.6000004,0.418106776,9.4499998,0.267211098,9.047,0.157182999,8.361,0.098082191,7.579,0.060043905,000,6.489,0.029445615,5.876,0.018197272,6.37E-01,0.6662,3,null,4.211,0.015210599,null,      null|,0,null,1.503,0.009926484,0000,null,2.20E+00,3,,1.60E+00,2,,null|,null|,,,,null|,null|,,3.87E+01,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.005,"Th. Henning et al. 1994, cold dust, 1 sigma detected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 37411,II,Acke et al. 2010,,05 38 14,-05 25 13,10700,9.232000355,1.420536033,-0.42,1.000536033,31.31739189
V599 Ori,F0,360,2.13796E-08,Fairlamb et al. 2015,,,,6.664039437,15.39,5.663830986,13.7,4.278,,3.205487324,,2.048619718,9.624,1.205070423,8.595,0.751963944,7.589,0.460336901,000,6.693,0.225749859,6.019,0.139512509,null|,0.6746,3,null|,4.302,0.116614665,null|,1.95,3,null|,1.047,0.076103089,0000,null|,3.74E+00,3,,1.01E+01,3,,8.318,3,,,,8.845,3,,1.78E+01,1,,11.85,3,,10.36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V599 Ori,,,,05 38 58,-07 16 45,7200,9.422,1.640487496,-0.01,1.630487496,17.53093185
rr tau,A0:IVe,800,7.76E-05,"Mendigutia, Calvet, et al. 2011",,,13.08,3.042278873,12.71,2.585661972,12.08,1.953,11.37,1.463374648,10.78,0.935239437,9.685,0.550140845,8.416,0.343287887,7.389,0.210153803,000,6.014,0.103059718,5.285,0.063690493,1.32E+00,1.365,3,null,3.571,0.05323713,null,1.367,3,null,1.723,0.034742715,HHHH ,null,2.5,3,,4.46E+00,3,,null|,null|,,,,null|,null|,,40.3,3,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.0179,,,,,,,,,,,,,,,,,,,,0.0021,,,,,,,,,,,,rr tau,II,Acke et al. 2008,,05 39 30,+26 22 26,9700,10.127,0.611550065,-0.24,0.371550065,55.89590267
HD 245906,A6,2000,,,,,,2.945698592,10.97,2.503577465,10.2,1.891,10.6,1.41691831,,0.905549296,14.95,0.532676056,10.549,0.332389859,9.947,0.203482254,c00,7.315,0.099787981,6.898,0.061668573,null|,null,0,null|,4.499,0.051547062,null|,0.8439,3,null|,2.403,0.033639771,0h00,null|,1.43E+00,3,,2.86E+00,3,,null|,null|,,,,null|,null|,,2.52E+01,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 245906,,,Manoj,05 39 30.4806,+26 19 55.083,8000,8.309,-3.196149978,-0.02,-3.216149978,1522.1589
V350 Ori,A1,460,2.18776E-07,"Mendigutia, Calvet, et al. 2011",,,12.26,2.028185915,11.92,1.723774648,11.47,1.302,11.03,0.975583099,10.62,0.623492958,10.017,0.366760563,9.236,0.228858592,8.371,0.140102535,000,7.392,0.068706479,6.809,0.042460329,null|,0.5563,3,null|,4.324,0.03549142,null|,1.008,3,null|,2.132,0.02316181,0000,null|,1.76E+00,3,,1.19E+00,3,,null|,null|,,,,null|,null|,,2.19E+01,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V350 Ori,II,Acke & van den Ancker; A Survey for nanodiamond features,,05 40 11,-09 42 11,9200,10.168,1.854210842,-0.15,1.704210842,16.3800666
HD 37806,B9,470,0.00000014,Donehew & Brittain 2011,,,,0.434611268,7.957,0.369380282,7.927,0.279,7.92,0.209053521,,0.133605634,7.115,0.078591549,6.252,0.049041127,5.4,0.030021972,000,4.576,0.014722817,3.522,0.009098642,7.36E+00,8.745,3,null,1.377,0.007605304,null,8.34,3,null,0.026,0.004963245,HHHH ,null,9.41E+00,3,,5.18E+00,1,,null|,null|,,,,null|,null|,,3.40E+01,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 37806,II,Acke et al. 2010,,05 41 02,-02 43 00,10700,7.648,-0.71248929,-0.42,-1.13248929,223.355019
HD 38120,B9,460,0.000000126,Donehew & Brittain 2011,,,,0.386321127,9.1,0.328338028,9.08,0.248,,0.185825352,,0.118760563,8.432,0.069859155,7.847,0.043592113,7.156,0.026686197,000,6.539,0.013086948,5.785,0.008087682,3.20E+00,4.652,3,null,1.591,0.00676027,null,9.805,3,null,-0.495,0.004411773,hh0h,null,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 38120,I,Acke et al. 2010,Cauley,05 43 11.89372,-04 59 49.8961,10700,8.832,0.518210842,-0.42,0.098210842,71.89781022
hd 38238,A7IIIe,375,,,,,9.4399996,0.772644096,9.2200003,0.656677622,8.8699999,0.496001183,,0.37165159,,0.237521693,7.95,0.139718643,7.504,0.087184433,6.846,0.053372522,000,5.811,0.026173959,5.069,0.016175402,null|,1.221,3,null|,3.9,0.013520573,null|,1.69,3,null|,1.071,0.008823568,0000,null|,4.11E+00,3,,2.59E+01,3,,22.85,3,,,,22.1,3,,2.11E+01,3,,16.43,3,,11.21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hd 38238,,,,05 44 18,+00 08 40,7800,8.373998717,0.503842378,0,0.503842378,49.48380065
MWC 778,B1,2000,,,,,13.45,5.69823662,13.72,4.842985915,12.8,3.658,,2.740923944,,1.75171831,10.182,1.030422535,8.947,0.642983662,7.732,0.393621408,000,6.312,0.193032488,5.265,0.119293305,null|,4.441,3,null|,1.609,0.099713989,null|,20.719999,3,null|,-1.538,0.065073656,hhhh,null|,4.04E+01,3,,9.75E+01,3,,106.599998,3,,,,95.059998,3,,1.34E+02,3,,96.870003,3,,106,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWC 778,,,Cauley,05 50 13.898,+23 52 17.73,26000,9.142,-2.363149978,-2.61,-4.973149978,7678.210095
V1818 Ori,B7,470,,,,,,1.979895775,13.7,1.682732394,13.4,1.271,13.2,0.95235493,,0.608647887,9.803,0.358028169,7.635,0.223409577,5.956,0.136766761,000,4.094,0.06707061,2.911,0.041449369,null|,13.21,3,null|,0.694,0.034646386,null|,19.129999,3,null|,-1.071,0.022610338,HHHH,null|,2.57E+01,3,,2.81E+01,3,,23.65,3,,,,31.32,3,,5.19E+01,2,,37.389999,3,,66.239998,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V1818 Ori,,,Cauley,05 53 42.55,-10 24 00.7,14000,12.129,3.76851071,-1.07,2.69851071,6.555347458
HD 249879,B8?e,2000,1.00E-08,Donehew & Brittain 2011,,,,0.57948169,10.65,0.492507042,10.62,0.372,,0.278738028,,0.178140845,10.455,0.104788732,10.062,0.065388169,9.059,0.040029296,000,7.346,0.019630423,6.346,0.012131523,9.50E-01,1.177,3,1.21E+00,3.656,0.010140406,1.04E+00,1.103,3,1.23E+00,2.066,0.00661766,0000,1.18E+00,1.20E+00,3,,1.05E+00,3,,null,1,,,,0.8387,3,,5.52E+00,1,,0.8287,1,,null,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 249879,,,Cauley,05 58 55.785,+16 39 57.37,12500,10.248,-1.257149978,-0.81,-2.067149978,528.2749181
hd 250550,B9e,700,1.60E-08,Donehew & Brittain 2011,,,9.34,0.627771831,9.61,0.533549296,9.54,0.403,9.32,0.301966197,9.24,0.192985915,8.475,0.113521127,7.528,0.070837183,6.635,0.04336507,000,5.649,0.021266291,4.809,0.013142483,2.08E+00,2.973,3,null,2.374,0.010985439,null,6.514,3,null,0.051,0.007169132,0000,null,11.3,3,,7.27E+00,3,,4.254,3,,,,6.048,3,,11.7,3,,7.959,3,,5.548,3,,,,,,,,,,,,,,,,,,,,,,0.04,"Hillenbrand 1992, upper limit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hd 250550,I,Acke et al. 2010,,06 01 59,+16 30 56,10700,9.137,-0.0884902,-0.42,-0.5084902,125.7175996
V791 Mon,B4,78,6.91831E-07,Fairlamb et al. 2015,,,,1.448704225,10.54,1.231267606,10.4,0.93,,0.69684507,,0.445352113,9.193,0.261971831,8.334,0.163470423,7.464,0.100073239,000,6.572,0.049076056,5.695,0.030328806,null|,2.837,3,null|,2.381,0.025351014,null|,4.399,3,null|,0.454,0.01654415,0000,null|,5.72E+00,3,,3.18E+00,3,,2.047,1,,,,2.077,3,,5.58E+00,2,,2.788,3,,null,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V791 Mon,,,Cauley,06 02 14.883,-10 00 59.58,16700,9.47,5.009526987,-1.53,3.479526987,3.192928588
AE Lep,A0,,,,,,,0.033803099,11.089,0.028729577,11.082,0.0217,11.08,0.016259718,,0.010391549,9.941,0.006112676,9.713,0.00381431,9.195,0.002335042,000,8.128,0.001145108,7.261,0.000707672,6.34E-01,1.188,3,1.52E+00,3.338,0.000591524,2.33E+00,3.014,3,3.83E+00,0.797,0.00038603,0000,3.76E+00,3.77E+00,3,,3.11E+00,3,,null|,null|,,,,null|,null|,,1.25E+00,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AE Lep,,,"""Cauley 2015""",06 03 37.075,-14 53 03.20,9700,11.0603,#NUM!,-0.24,#NUM!,#NUM!
lkh 208,A4,1000,,,,,12.38,1.448704225,12.07,1.231267606,11.65,0.93,11.33,0.69684507,11.02,0.445352113,10.254,0.261971831,9.834,0.163470423,9.245,0.100073239,000,7.915,0.049076056,6.571,0.030328806,1.64E+00,3.093,3,2.79E+00,2.524,0.025351014,2.98E+00,      null|,0,3.95E+00,0.766,0.01654415,0000,3.69E+00,4.5,3,,5.9,3,,null|,null|,,,,null|,null|,,26.2,3,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkh 208,,,,06 07 49,+18 39 26,8270,10.72,0.72,-0.04,0.68,42.07266284
IRAS 06071+2925,B9,,,,,,,4.394402817,14.58,3.73484507,13.73,2.821,,2.11376338,,1.350901408,11.49,0.794647887,10.683,0.495860282,9.81,0.303555493,000,8.851,0.148864038,7.852,0.091997379,1.67E-01,null,0,null,3.991,0.076898076,null,1.107,3,null,2,0.050183921,0000,null,1.43E+00,3,,9.56E-01,3,,null|,null|,,,,null|,null|,,2.10E+00,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRAS 06071+2925,,,Cauley,06 10 17.325,+29 25 16.56,10700,10.909,#NUM!,-0.42,#NUM!,#NUM!
lkha 338,B9,830,,,,,,9.368287324,17,7.962197183,15.12,6.014,,4.506264789,,2.879943662,11.274,1.694084507,10.065,1.057108732,8.615,0.647140282,000,6.519,0.317358498,5.233,0.196126281,1.93E+00,3.219,3,2.55E+00,2.262,0.163936558,2.41E+00,4.905,3,2.37E+00,0.508,0.106985502,dddd,2.18E+00,2.21E+00,3,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkha 338,,,Manoj,06 10 47.03,-06 12 47.9,10700,9.106,-0.489390462,-0.42,-0.909390462,181.8679556
lkh 339,A1e,830,1.54882E-07,Fairlamb et al. 2015,,,14.75,4.056371831,14.53,3.447549296,13.66,2.604,12.77,1.951166197,12.11,1.246985915,11.386,0.733521127,10.64,0.457771718,9.725,0.28020507,000,8.171,0.137412958,7.256,0.084920658,5.33E-01,1.415,3,9.72E-01,3.712,0.070982839,1.18E+00,2.047,3,1.76E+00,1.58,0.04632362,hhhd ,1.70E+00,1.73E+00,2,,3.61E+03,1,,null|,null|,,,,null|,null|,,4.88E+03,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkh 339,,,,06 10 57,-06 14 39,9200,11.056,1.460609538,-0.15,1.310609538,23.53727518
lkha 339,A1,830,,,,,,3.911501408,14.44,3.324422535,13.6,2.511,13.44,1.88148169,,1.202450704,11.386,0.707323944,10.64,0.441370141,9.725,0.270197746,000,8.171,0.132505352,7.256,0.081887777,5.33E-01,1.415,3,9.72E-01,3.712,0.068447738,1.18E+00,2.047,3,1.76E+00,1.58,0.044669205,hhhd,1.70E+00,1.73E+00,3,,3.61E+03,1,,null|,null|,,,,null|,null|,,4.88E+03,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkha 339,,,Manoj,06 10 57.848,-06 14 39.70,9200,11.089,1.493609538,-0.15,1.343609538,22.83264292
mwc 137,B0e,1091,,,80,Cauley 2014,12.75,7.774712676,13.31,6.607802817,12,4.991,10.2,3.739735211,9.21,2.390056338,8.762,1.405915493,7.84,0.877291268,6.623,0.537059718,000,4.737,0.263374836,3.655,0.162764594,null|, ,0,null|,1.839,0.136050442,null|,20.4,3,null|,-0.385,0.088786938,hhhd ,null|,25.7,3,,245,3,,null|,null|,,,,null|,null|,,519,3,,null|,null|,,null|,null|,,3.77,,1.66,,,,0.297,,0.366,,,,,,,,0.095,,,,0.19,Hillenbrand 1992,0.0071,,,,,,0.0057,,,,,,,,,,,,,,,,,,,,,,,,mwc 137,III?,Baines et al. 2012,,06 18 45,+15 16 52,31500,7.009,-3.180123753,-3.02,-6.200123753,23771.11216
HD 46060,B2,144,,,,,,2.076476056,9.03,1.764816901,8.82,1.333,,0.998811268,,0.638338028,8.153,0.375492958,8.134,0.234307606,8.105,0.14343831,000,7.856,0.070342347,7.93,0.043471289,4.87E-02,null|,null|,7.03E-02,5.916,0.036336454,2.34E-01,null|,null|,5.34E-01,1.873,0.023713281,hh00,5.67E-01,5.67E-01,3,,4.00E+01,1,,null|,null|,,,,null|,null|,,3.69E+02,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 46060,,,van den Ancker 1998,06 30 49.81443,-09 39 14.8106,20600,7.487,1.69518754,-2.06,-0.36481246,110.1349057
lkh 341,F3e,,,,,,14.28,2.84911831,14.35,2.421492958,13.39,1.829,12.43,1.370461972,,0.875859155,9.374,0.515211268,8.439,0.321491831,8.071,0.196810704,000,7.78,0.096516244,7.624,0.059646652,null|,      null|, null,null|,7.34,0.049856994,null|,      null|,null,null|,6.926,0.032536828,0000,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkh 341,,,,06 30 50,+10 33 09,6720,11.561,#NUM!,-0.03,#NUM!,#NUM!
vy mon,A5:Vep,800,,,40,Cauley 2014,15.98,7.146940845,15.09,6.074253521,13.47,4.588,11.64,3.437769014,10.49,2.197070423,8.074,1.292394366,6.696,0.806454085,5.457,0.493694648,000,3.646,0.242108545,0.526,0.149622111,null|, ,0,null|,-0.191,0.125065003,null|,56.220001,3,null|,-2.313,0.081617806,HHHH ,null|,6.82E+01,3,,1.12E+02,3,,null|,null|,,,,null|,null|,,2.15E+02,3,,null|,null|,,null|,null|,,,,10.925,,,,,,0.552,,2.215,,,,,,0.247,,,,0.189,,0.0604,,,,,,,,,,,,,,,,0.0097,,,,,,,,,,,,,,vy mon,I,Mendigutia et al. 2012,,06 31 06,+10 26 04,8080,8.882,-0.633449935,-0.03,-0.663449935,145.0039971
lkh 215,B6e,800,1.90E-07,Donehew & Brittain 2011,,,11.11,3.138859155,11.06,2.667746479,10.54,2.015,9.86,1.509830986,9.27,0.964929577,8.598,0.567605634,7.821,0.354185915,7.034,0.216825352,000,5.426,0.106331455,4.727,0.065712414,1.34E-01,17.940001,3,1.85E-01,2.966,0.054927197,1.00E+00,13.67,3,1.69E+00,0.657,0.035845658,HHHH ,1.77E+00,8.2,3,,86.9,3,,null|,null|,,,,null|,null|,,315,3,,null|,null|,,null|,null|,,,,1.23,,,,,,0.142,,,,,,,,0.058,,,,0.175,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkh 215,,,,06 32 41,+10 09 33,14500,8.525,-0.990449935,-1.16,-2.150449935,570.4006004
